date,nav,units,fund_value,cash,total_value,total_cost,unrealized_pnl,unrealized_pnl_pct,buy_cash,sell_cash,buy_units,sell_units,note
2021-02-08,2.2100,1536.7627,3396.25,0.00,3396.25,3000.00,396.25,0.1321,0.00,0.00,0.0000,0.0000,
2021-02-09,2.2518,1536.7627,3460.48,0.00,3460.48,3000.00,460.48,0.1535,0.00,0.00,0.0000,0.0000,
2021-02-10,2.2727,1536.7627,3492.60,0.00,3492.60,3000.00,492.60,0.1642,0.00,0.00,0.0000,0.0000,
2021-02-18,2.2515,1536.7627,3460.02,0.00,3460.02,3000.00,460.02,0.1533,0.00,0.00,0.0000,0.0000,
2021-02-19,2.2408,1536.7627,3443.58,0.00,3443.58,3000.00,443.58,0.1479,0.00,0.00,0.0000,0.0000,
2021-02-22,2.1815,1536.7627,3352.45,0.00,3352.45,3000.00,352.45,0.1175,0.00,0.00,0.0000,0.0000,
2021-02-23,2.2093,1536.7627,3395.17,0.00,3395.17,3000.00,395.17,0.1317,0.00,0.00,0.0000,0.0000,
2021-02-24,2.1703,1536.7627,3335.24,0.00,3335.24,3000.00,335.24,0.1117,0.00,0.00,0.0000,0.0000,
2021-02-25,2.1750,1536.7627,3342.46,0.00,3342.46,3000.00,342.46,0.1142,0.00,0.00,0.0000,0.0000,
2021-02-26,2.1220,1536.7627,3261.01,0.00,3261.01,3000.00,261.01,0.0870,0.00,0.00,0.0000,0.0000,
2021-03-01,2.1619,1767.7635,3821.73,0.00,3821.73,3500.00,321.73,0.0919,500.00,0.00,231.0008,0.0000,月度定投: 全额买入 500.00 元
2021-03-02,2.1472,1767.7635,3795.74,0.00,3795.74,3500.00,295.74,0.0845,0.00,0.00,0.0000,0.0000,
2021-03-03,2.1696,1767.7635,3835.34,0.00,3835.34,3500.00,335.34,0.0958,0.00,0.00,0.0000,0.0000,
2021-03-04,2.1107,1767.7635,3731.22,0.00,3731.22,3500.00,231.22,0.0661,0.00,0.00,0.0000,0.0000,
2021-03-05,2.1112,1767.7635,3732.10,0.00,3732.10,3500.00,232.10,0.0663,0.00,0.00,0.0000,0.0000,
2021-03-08,2.0592,1767.7635,3640.18,0.00,3640.18,3500.00,140.18,0.0401,0.00,0.00,0.0000,0.0000,
2021-03-09,2.0086,1767.7635,3550.73,0.00,3550.73,3500.00,50.73,0.0145,0.00,0.00,0.0000,0.0000,
2021-03-10,2.0071,1767.7635,3548.08,0.00,3548.08,3500.00,48.08,0.0137,0.00,0.00,0.0000,0.0000,
2021-03-11,2.0504,1767.7635,3624.62,0.00,3624.62,3500.00,124.62,0.0356,0.00,0.00,0.0000,0.0000,
2021-03-12,2.0593,1767.7635,3640.36,0.00,3640.36,3500.00,140.36,0.0401,0.00,0.00,0.0000,0.0000,
2021-03-15,2.0081,1767.7635,3549.85,0.00,3549.85,3500.00,49.85,0.0142,0.00,0.00,0.0000,0.0000,
2021-03-16,2.0214,1767.7635,3573.36,0.00,3573.36,3500.00,73.36,0.0210,0.00,0.00,0.0000,0.0000,
2021-03-17,2.0392,1767.7635,3604.82,0.00,3604.82,3500.00,104.82,0.0299,0.00,0.00,0.0000,0.0000,
2021-03-18,2.0475,1767.7635,3619.50,0.00,3619.50,3500.00,119.50,0.0341,0.00,0.00,0.0000,0.0000,
2021-03-19,2.0069,1767.7635,3547.72,0.00,3547.72,3500.00,47.72,0.0136,0.00,0.00,0.0000,0.0000,
2021-03-22,2.0307,1767.7635,3589.80,0.00,3589.80,3500.00,89.80,0.0257,0.00,0.00,0.0000,0.0000,
2021-03-23,2.0205,1767.7635,3571.77,0.00,3571.77,3500.00,71.77,0.0205,0.00,0.00,0.0000,0.0000,
2021-03-24,1.9883,1767.7635,3514.84,0.00,3514.84,3500.00,14.84,0.0042,0.00,0.00,0.0000,0.0000,
2021-03-25,2.0018,1767.7635,3538.71,0.00,3538.71,3500.00,38.71,0.0111,0.00,0.00,0.0000,0.0000,
2021-03-26,2.0470,1767.7635,3618.61,0.00,3618.61,3500.00,118.61,0.0339,0.00,0.00,0.0000,0.0000,
2021-03-29,2.0564,1767.7635,3635.23,0.00,3635.23,3500.00,135.23,0.0386,0.00,0.00,0.0000,0.0000,
2021-03-30,2.0647,1767.7635,3649.90,0.00,3649.90,3500.00,149.90,0.0428,0.00,0.00,0.0000,0.0000,
2021-03-31,2.0649,1767.7635,3650.25,0.00,3650.25,3500.00,150.25,0.0429,0.00,0.00,0.0000,0.0000,
2021-04-01,2.0821,2007.6179,4180.06,0.00,4180.06,4000.00,180.06,0.0450,500.00,0.00,239.8543,0.0000,月度定投: 全额买入 500.00 元
2021-04-02,2.0861,2007.6179,4188.09,0.00,4188.09,4000.00,188.09,0.0470,0.00,0.00,0.0000,0.0000,
2021-04-06,2.0853,2007.6179,4186.49,0.00,4186.49,4000.00,186.49,0.0466,0.00,0.00,0.0000,0.0000,
2021-04-07,2.0678,2007.6179,4151.35,0.00,4151.35,4000.00,151.35,0.0378,0.00,0.00,0.0000,0.0000,
2021-04-08,2.0649,2007.6179,4145.53,0.00,4145.53,4000.00,145.53,0.0364,0.00,0.00,0.0000,0.0000,
2021-04-09,2.0393,2007.6179,4094.14,0.00,4094.14,4000.00,94.14,0.0235,0.00,0.00,0.0000,0.0000,
2021-04-12,1.9938,2007.6179,4002.79,0.00,4002.79,4000.00,2.79,0.0007,0.00,0.00,0.0000,0.0000,
2021-04-13,1.9923,2007.6179,3999.78,0.00,3999.78,4000.00,-0.22,-0.0001,0.00,0.00,0.0000,0.0000,
2021-04-14,2.0069,2007.6179,4029.09,0.00,4029.09,4000.00,29.09,0.0073,0.00,0.00,0.0000,0.0000,
2021-04-15,1.9989,2007.6179,4013.03,0.00,4013.03,4000.00,13.03,0.0033,0.00,0.00,0.0000,0.0000,
2021-04-16,2.0082,2007.6179,4031.70,0.00,4031.70,4000.00,31.70,0.0079,0.00,0.00,0.0000,0.0000,
2021-04-19,2.0457,2007.6179,4106.98,0.00,4106.98,4000.00,106.98,0.0267,0.00,0.00,0.0000,0.0000,
2021-04-20,2.0604,2007.6179,4136.50,0.00,4136.50,4000.00,136.50,0.0341,0.00,0.00,0.0000,0.0000,
2021-04-21,2.0798,2007.6179,4175.44,0.00,4175.44,4000.00,175.44,0.0439,0.00,0.00,0.0000,0.0000,
2021-04-22,2.0826,2007.6179,4181.07,0.00,4181.07,4000.00,181.07,0.0453,0.00,0.00,0.0000,0.0000,
2021-04-23,2.1036,2007.6179,4223.22,0.00,4223.22,4000.00,223.22,0.0558,0.00,0.00,0.0000,0.0000,
2021-04-26,2.1085,2007.6179,4233.06,0.00,4233.06,4000.00,233.06,0.0583,0.00,0.00,0.0000,0.0000,
2021-04-27,2.1284,2007.6179,4273.01,0.00,4273.01,4000.00,273.01,0.0683,0.00,0.00,0.0000,0.0000,
2021-04-28,2.1400,2007.6179,4296.30,0.00,4296.30,4000.00,296.30,0.0741,0.00,0.00,0.0000,0.0000,
2021-04-29,2.1341,2007.6179,4284.46,0.00,4284.46,4000.00,284.46,0.0711,0.00,0.00,0.0000,0.0000,
2021-04-30,2.1379,2007.6179,4292.09,0.00,4292.09,4000.00,292.09,0.0730,0.00,0.00,0.0000,0.0000,
2021-05-06,2.1214,2243.0288,4758.36,0.00,4758.36,4500.00,258.36,0.0574,500.00,0.00,235.4109,0.0000,月度定投: 全额买入 500.00 元
2021-05-07,2.0844,2243.0288,4675.37,0.00,4675.37,4500.00,175.37,0.0390,0.00,0.00,0.0000,0.0000,
2021-05-10,2.0758,2243.0288,4656.08,0.00,4656.08,4500.00,156.08,0.0347,0.00,0.00,0.0000,0.0000,
2021-05-11,2.0676,2243.0288,4637.69,0.00,4637.69,4500.00,137.69,0.0306,0.00,0.00,0.0000,0.0000,
2021-05-12,2.0698,2243.0288,4642.62,0.00,4642.62,4500.00,142.62,0.0317,0.00,0.00,0.0000,0.0000,
2021-05-13,2.0521,2243.0288,4602.92,0.00,4602.92,4500.00,102.92,0.0229,0.00,0.00,0.0000,0.0000,
2021-05-14,2.0793,2243.0288,4663.93,0.00,4663.93,4500.00,163.93,0.0364,0.00,0.00,0.0000,0.0000,
2021-05-17,2.1126,2243.0288,4738.62,0.00,4738.62,4500.00,238.62,0.0530,0.00,0.00,0.0000,0.0000,
2021-05-18,2.1090,2243.0288,4730.55,0.00,4730.55,4500.00,230.55,0.0512,0.00,0.00,0.0000,0.0000,
2021-05-19,2.0921,2243.0288,4692.64,0.00,4692.64,4500.00,192.64,0.0428,0.00,0.00,0.0000,0.0000,
2021-05-20,2.1026,2243.0288,4716.19,0.00,4716.19,4500.00,216.19,0.0480,0.00,0.00,0.0000,0.0000,
2021-05-21,2.0912,2243.0288,4690.62,0.00,4690.62,4500.00,190.62,0.0424,0.00,0.00,0.0000,0.0000,
2021-05-24,2.1061,2243.0288,4724.04,0.00,4724.04,4500.00,224.04,0.0498,0.00,0.00,0.0000,0.0000,
2021-05-25,2.1450,2243.0288,4811.30,0.00,4811.30,4500.00,311.30,0.0692,0.00,0.00,0.0000,0.0000,
2021-05-26,2.1550,2243.0288,4833.73,0.00,4833.73,4500.00,333.73,0.0742,0.00,0.00,0.0000,0.0000,
2021-05-27,2.1598,2243.0288,4844.49,0.00,4844.49,4500.00,344.49,0.0766,0.00,0.00,0.0000,0.0000,
2021-05-28,2.1429,2243.0288,4806.59,0.00,4806.59,4500.00,306.59,0.0681,0.00,0.00,0.0000,0.0000,
2021-05-31,2.1518,2243.0288,4826.55,0.00,4826.55,4500.00,326.55,0.0726,0.00,0.00,0.0000,0.0000,
2021-06-01,2.1600,2474.2328,5344.34,0.00,5344.34,5000.00,344.34,0.0689,500.00,0.00,231.2040,0.0000,月度定投: 全额买入 500.00 元
2021-06-02,2.1441,2474.2328,5305.00,0.00,5305.00,5000.00,305.00,0.0610,0.00,0.00,0.0000,0.0000,
2021-06-03,2.1262,2474.2328,5260.71,0.00,5260.71,5000.00,260.71,0.0521,0.00,0.00,0.0000,0.0000,
2021-06-04,2.1439,2474.2328,5304.51,0.00,5304.51,5000.00,304.51,0.0609,0.00,0.00,0.0000,0.0000,
2021-06-07,2.1467,2474.2328,5311.44,0.00,5311.44,5000.00,311.44,0.0623,0.00,0.00,0.0000,0.0000,
2021-06-08,2.1333,2474.2328,5278.28,0.00,5278.28,5000.00,278.28,0.0557,0.00,0.00,0.0000,0.0000,
2021-06-09,2.1321,2474.2328,5275.31,0.00,5275.31,5000.00,275.31,0.0551,0.00,0.00,0.0000,0.0000,
2021-06-10,2.1371,2474.2328,5287.68,0.00,5287.68,5000.00,287.68,0.0575,0.00,0.00,0.0000,0.0000,
2021-06-11,2.1151,2474.2328,5233.25,0.00,5233.25,5000.00,233.25,0.0466,0.00,0.00,0.0000,0.0000,
2021-06-15,2.0987,2474.2328,5192.67,0.00,5192.67,5000.00,192.67,0.0385,0.00,0.00,0.0000,0.0000,
2021-06-16,2.0682,2474.2328,5117.21,0.00,5117.21,5000.00,117.21,0.0234,0.00,0.00,0.0000,0.0000,
2021-06-17,2.0737,2474.2328,5130.82,0.00,5130.82,5000.00,130.82,0.0262,0.00,0.00,0.0000,0.0000,
2021-06-18,2.0692,2474.2328,5119.68,0.00,5119.68,5000.00,119.68,0.0239,0.00,0.00,0.0000,0.0000,
2021-06-21,2.0768,2474.2328,5138.49,0.00,5138.49,5000.00,138.49,0.0277,0.00,0.00,0.0000,0.0000,
2021-06-22,2.0884,2474.2328,5167.19,0.00,5167.19,5000.00,167.19,0.0334,0.00,0.00,0.0000,0.0000,
2021-06-23,2.1063,2474.2328,5211.48,0.00,5211.48,5000.00,211.48,0.0423,0.00,0.00,0.0000,0.0000,
