date,nav,units,fund_value,cash,total_value,total_cost,unrealized_pnl,unrealized_pnl_pct,buy_cash,sell_cash,buy_units,sell_units,note
2021-05-24,2.1061,2239.2469,4716.08,0.00,4716.08,4500.00,216.08,0.0480,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2021-05-25,2.1450,2239.2469,4803.18,0.00,4803.18,4500.00,303.18,0.0674,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2021-05-26,2.1550,2239.2469,4825.58,0.00,4825.58,4500.00,325.58,0.0724,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2021-05-27,2.1598,2239.2469,4836.33,0.00,4836.33,4500.00,336.33,0.0747,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2021-05-28,2.1429,2239.2469,4798.48,0.00,4798.48,4500.00,298.48,0.0663,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2021-05-31,2.1518,2239.2469,4818.41,0.00,4818.41,4500.00,318.41,0.0708,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2021-06-01,2.1600,2450.2993,5292.65,43.58,5336.23,4956.42,379.81,0.0766,456.42,0.00,211.0523,0.0000,"[定投日] NAV=2.1600, MA250=2.0698, 偏离度=4.36%, 原始因子=0.91, 生效因子=0.91；计划买入 456.42 元，实际买入 456.42 元，资金池剩余 43.58 元"
2021-06-02,2.1441,2450.2993,5253.69,43.58,5297.27,4956.42,340.85,0.0688,0.00,0.00,0.0000,0.0000,"[非定投日观望] NAV=2.1441, MA250=2.0705, 偏离度=3.55%, 原始因子=0.93；估值未到低估区，不动用资金池"
2021-06-03,2.1262,2450.2993,5209.83,43.58,5253.41,4956.42,296.99,0.0599,0.00,0.00,0.0000,0.0000,"[非定投日观望] NAV=2.1262, MA250=2.0711, 偏离度=2.66%, 原始因子=0.95；估值未到低估区，不动用资金池"
2021-06-04,2.1439,2450.2993,5253.20,43.58,5296.78,4956.42,340.36,0.0687,0.00,0.00,0.0000,0.0000,"[非定投日观望] NAV=2.1439, MA250=2.0716, 偏离度=3.49%, 原始因子=0.93；估值未到低估区，不动用资金池"
2021-06-07,2.1467,2450.2993,5260.06,43.58,5303.64,4956.42,347.22,0.0701,0.00,0.00,0.0000,0.0000,"[非定投日观望] NAV=2.1467, MA250=2.0722, 偏离度=3.60%, 原始因子=0.93；估值未到低估区，不动用资金池"
2021-06-08,2.1333,2450.2993,5227.22,43.58,5270.80,4956.42,314.38,0.0634,0.00,0.00,0.0000,0.0000,"[非定投日观望] NAV=2.1333, MA250=2.0728, 偏离度=2.92%, 原始因子=0.94；估值未到低估区，不动用资金池"
2021-06-09,2.1321,2450.2993,5224.28,43.58,5267.86,4956.42,311.44,0.0628,0.00,0.00,0.0000,0.0000,"[非定投日观望] NAV=2.1321, MA250=2.0733, 偏离度=2.84%, 原始因子=0.94；估值未到低估区，不动用资金池"
2021-06-10,2.1371,2450.2993,5236.53,43.58,5280.11,4956.42,323.69,0.0653,0.00,0.00,0.0000,0.0000,"[非定投日观望] NAV=2.1371, MA250=2.0737, 偏离度=3.06%, 原始因子=0.94；估值未到低估区，不动用资金池"
2021-06-11,2.1151,2450.2993,5182.63,43.58,5226.21,4956.42,269.79,0.0544,0.00,0.00,0.0000,0.0000,"[非定投日观望] NAV=2.1151, MA250=2.0742, 偏离度=1.97%, 原始因子=0.96；估值未到低估区，不动用资金池"
2021-06-15,2.0987,2450.2993,5142.44,43.58,5186.02,4956.42,229.60,0.0463,0.00,0.00,0.0000,0.0000,"[非定投日观望] NAV=2.0987, MA250=2.0745, 偏离度=1.17%, 原始因子=0.98；估值未到低估区，不动用资金池"
