date,nav,units,fund_value,cash,total_value,total_cost,unrealized_pnl,unrealized_pnl_pct,buy_cash,sell_cash,buy_units,sell_units,note
2021-12-17,2.0876,3955.1824,8256.84,0.00,8256.84,8000.00,256.84,0.0321,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2021-12-20,2.0493,3955.1824,8105.36,0.00,8105.36,8000.00,105.36,0.0132,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2021-12-21,2.0790,3955.1824,8222.82,0.00,8222.82,8000.00,222.82,0.0279,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2021-12-22,2.1093,3955.1824,8342.67,0.00,8342.67,8000.00,342.67,0.0428,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2021-12-23,2.1125,3955.1824,8355.32,0.00,8355.32,8000.00,355.32,0.0444,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2021-12-24,2.1042,3955.1824,8322.49,0.00,8322.49,8000.00,322.49,0.0403,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2021-12-27,2.0977,3955.1824,8296.79,0.00,8296.79,8000.00,296.79,0.0371,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2021-12-28,2.1057,3955.1824,8328.43,0.00,8328.43,8000.00,328.43,0.0411,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2021-12-29,2.0835,3955.1824,8240.62,0.00,8240.62,8000.00,240.62,0.0301,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2021-12-30,2.1026,3955.1824,8316.17,0.00,8316.17,8000.00,316.17,0.0395,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2021-12-31,2.1233,3955.1824,8398.04,0.00,8398.04,8000.00,398.04,0.0498,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2022-01-04,2.0927,4187.4636,8763.11,13.32,8776.43,8486.68,289.75,0.0341,486.68,0.00,232.2812,0.0000,"[定投日] NAV=2.0927, MA250=2.0652, 偏离度=1.33%, 原始因子=0.97, 生效因子=0.97；计划买入 486.68 元，实际买入 486.68 元，资金池剩余 13.32 元"
2022-01-05,2.0550,4193.9385,8618.54,0.00,8618.54,8500.00,118.54,0.0139,13.32,0.00,6.4749,0.0000,"[非定投日低估抄底] NAV=2.0550, MA250=2.0658, 偏离度=-0.52%, 原始因子=1.01；计划抄底 505.23 元，实际买入 13.32 元，资金池剩余 0.00 元"
2022-01-06,2.0555,4193.9385,8620.64,0.00,8620.64,8500.00,120.64,0.0142,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2022-01-07,2.0460,4193.9385,8580.80,0.00,8580.80,8500.00,80.80,0.0095,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2022-01-10,2.0339,4193.9385,8530.05,0.00,8530.05,8500.00,30.05,0.0035,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2022-01-11,2.0003,4193.9385,8389.14,0.00,8389.14,8500.00,-110.86,-0.0130,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2022-01-12,2.0265,4193.9385,8499.02,0.00,8499.02,8500.00,-0.98,-0.0001,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2022-01-13,1.9858,4193.9385,8328.32,0.00,8328.32,8500.00,-171.68,-0.0202,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2022-01-14,2.0034,4193.9385,8402.14,0.00,8402.14,8500.00,-97.86,-0.0115,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2022-01-17,2.0237,4193.9385,8487.27,0.00,8487.27,8500.00,-12.73,-0.0015,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2022-01-18,2.0349,4193.9385,8534.25,0.00,8534.25,8500.00,34.25,0.0040,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2022-01-19,2.0113,4193.9385,8435.27,0.00,8435.27,8500.00,-64.73,-0.0076,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2022-01-20,1.9981,4193.9385,8379.91,0.00,8379.91,8500.00,-120.09,-0.0141,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2022-01-21,1.9604,4193.9385,8221.80,0.00,8221.80,8500.00,-278.20,-0.0327,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2022-01-24,1.9639,4193.9385,8236.48,0.00,8236.48,8500.00,-263.52,-0.0310,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
2022-01-25,1.9127,4193.9385,8021.75,0.00,8021.75,8500.00,-478.25,-0.0563,0.00,0.00,0.0000,0.0000,现金为 0，今日不买入
