date,nav,units,fund_value,cash,total_value,total_cost,unrealized_pnl,unrealized_pnl_pct,buy_cash,sell_cash,buy_units,sell_units,note
2022-11-03,1.5067,7203.1990,10853.06,0.00,10853.06,13500.00,-2646.94,-0.1961,0.00,0.00,0.0000,0.0000,
2022-11-04,1.5436,7203.1990,11118.86,0.00,11118.86,13500.00,-2381.14,-0.1764,0.00,0.00,0.0000,0.0000,
2022-11-07,1.5547,7203.1990,11198.81,0.00,11198.81,13500.00,-2301.19,-0.1705,0.00,0.00,0.0000,0.0000,
2022-11-08,1.5405,7203.1990,11096.53,0.00,11096.53,13500.00,-2403.47,-0.1780,0.00,0.00,0.0000,0.0000,
2022-11-09,1.5380,7203.1990,11078.52,0.00,11078.52,13500.00,-2421.48,-0.1794,0.00,0.00,0.0000,0.0000,
2022-11-10,1.5247,7203.1990,10982.72,0.00,10982.72,13500.00,-2517.28,-0.1865,0.00,0.00,0.0000,0.0000,
2022-11-11,1.5517,7203.1990,11177.20,0.00,11177.20,13500.00,-2322.80,-0.1721,0.00,0.00,0.0000,0.0000,
2022-11-14,1.5544,7203.1990,11196.65,0.00,11196.65,13500.00,-2303.35,-0.1706,0.00,0.00,0.0000,0.0000,
2022-11-15,1.6009,7203.1990,11531.60,0.00,11531.60,13500.00,-1968.40,-0.1458,0.00,0.00,0.0000,0.0000,
2022-11-16,1.5849,7203.1990,11416.35,0.00,11416.35,13500.00,-2083.65,-0.1543,0.00,0.00,0.0000,0.0000,
2022-11-17,1.5950,7203.1990,11489.10,0.00,11489.10,13500.00,-2010.90,-0.1490,0.00,0.00,0.0000,0.0000,
2022-11-18,1.5833,7203.1990,11404.82,0.00,11404.82,13500.00,-2095.18,-0.1552,0.00,0.00,0.0000,0.0000,
2022-11-21,1.5734,7203.1990,11333.51,0.00,11333.51,13500.00,-2166.49,-0.1605,0.00,0.00,0.0000,0.0000,
2022-11-22,1.5604,7203.1990,11239.87,0.00,11239.87,13500.00,-2260.13,-0.1674,0.00,0.00,0.0000,0.0000,
2022-11-23,1.5465,7203.1990,11139.75,0.00,11139.75,13500.00,-2360.25,-0.1748,0.00,0.00,0.0000,0.0000,
2022-11-24,1.5442,7203.1990,11123.18,0.00,11123.18,13500.00,-2376.82,-0.1761,0.00,0.00,0.0000,0.0000,
2022-11-25,1.5323,7203.1990,11037.46,0.00,11037.46,13500.00,-2462.54,-0.1824,0.00,0.00,0.0000,0.0000,
2022-11-28,1.5187,7203.1990,10939.50,0.00,10939.50,13500.00,-2560.50,-0.1897,0.00,0.00,0.0000,0.0000,
2022-11-29,1.5548,7203.1990,11199.53,0.00,11199.53,13500.00,-2300.47,-0.1704,0.00,0.00,0.0000,0.0000,
2022-11-30,1.5460,7203.1990,11136.15,0.00,11136.15,13500.00,-2363.85,-0.1751,0.00,0.00,0.0000,0.0000,
2022-12-01,1.5719,7520.9041,11822.11,0.00,11822.11,14000.00,-2177.89,-0.1556,500.00,0.00,317.7051,0.0000,月度定投: 全额买入 500.00 元
2022-12-02,1.5578,7520.9041,11716.06,0.00,11716.06,14000.00,-2283.94,-0.1631,0.00,0.00,0.0000,0.0000,
2022-12-05,1.5749,7520.9041,11844.67,0.00,11844.67,14000.00,-2155.33,-0.1540,0.00,0.00,0.0000,0.0000,
2022-12-06,1.5880,7520.9041,11943.20,0.00,11943.20,14000.00,-2056.80,-0.1469,0.00,0.00,0.0000,0.0000,
2022-12-07,1.5833,7520.9041,11907.85,0.00,11907.85,14000.00,-2092.15,-0.1494,0.00,0.00,0.0000,0.0000,
2022-12-08,1.5775,7520.9041,11864.23,0.00,11864.23,14000.00,-2135.77,-0.1526,0.00,0.00,0.0000,0.0000,
2022-12-09,1.5977,7520.9041,12016.15,0.00,12016.15,14000.00,-1983.85,-0.1417,0.00,0.00,0.0000,0.0000,
2022-12-12,1.5958,7520.9041,12001.86,0.00,12001.86,14000.00,-1998.14,-0.1427,0.00,0.00,0.0000,0.0000,
2022-12-13,1.5764,7520.9041,11855.95,0.00,11855.95,14000.00,-2144.05,-0.1531,0.00,0.00,0.0000,0.0000,
2022-12-14,1.5807,7520.9041,11888.29,0.00,11888.29,14000.00,-2111.71,-0.1508,0.00,0.00,0.0000,0.0000,
2022-12-15,1.5833,7520.9041,11907.85,0.00,11907.85,14000.00,-2092.15,-0.1494,0.00,0.00,0.0000,0.0000,
2022-12-16,1.5787,7520.9041,11873.25,0.00,11873.25,14000.00,-2126.75,-0.1519,0.00,0.00,0.0000,0.0000,
2022-12-19,1.5509,7520.9041,11664.17,0.00,11664.17,14000.00,-2335.83,-0.1668,0.00,0.00,0.0000,0.0000,
2022-12-20,1.5326,7520.9041,11526.54,0.00,11526.54,14000.00,-2473.46,-0.1767,0.00,0.00,0.0000,0.0000,
2022-12-21,1.5326,7520.9041,11526.54,0.00,11526.54,14000.00,-2473.46,-0.1767,0.00,0.00,0.0000,0.0000,
2022-12-22,1.5448,7520.9041,11618.29,0.00,11618.29,14000.00,-2381.71,-0.1701,0.00,0.00,0.0000,0.0000,
2022-12-23,1.5408,7520.9041,11588.21,0.00,11588.21,14000.00,-2411.79,-0.1723,0.00,0.00,0.0000,0.0000,
2022-12-26,1.5512,7520.9041,11666.43,0.00,11666.43,14000.00,-2333.57,-0.1667,0.00,0.00,0.0000,0.0000,
2022-12-27,1.5642,7520.9041,11764.20,0.00,11764.20,14000.00,-2235.80,-0.1597,0.00,0.00,0.0000,0.0000,
2022-12-28,1.5544,7520.9041,11690.49,0.00,11690.49,14000.00,-2309.51,-0.1650,0.00,0.00,0.0000,0.0000,
2022-12-29,1.5566,7520.9041,11707.04,0.00,11707.04,14000.00,-2292.96,-0.1638,0.00,0.00,0.0000,0.0000,
2022-12-30,1.5516,7520.9041,11669.43,0.00,11669.43,14000.00,-2330.57,-0.1665,0.00,0.00,0.0000,0.0000,
2022-12-31,1.5515,7520.9041,11668.68,0.00,11668.68,14000.00,-2331.32,-0.1665,0.00,0.00,0.0000,0.0000,
2023-01-03,1.5757,7837.8431,12350.09,0.00,12350.09,14500.00,-2149.91,-0.1483,500.00,0.00,316.9390,0.0000,月度定投: 全额买入 500.00 元
2023-01-04,1.5612,7837.8431,12236.44,0.00,12236.44,14500.00,-2263.56,-0.1561,0.00,0.00,0.0000,0.0000,
2023-01-05,1.5801,7837.8431,12384.58,0.00,12384.58,14500.00,-2115.42,-0.1459,0.00,0.00,0.0000,0.0000,
2023-01-06,1.5774,7837.8431,12363.41,0.00,12363.41,14500.00,-2136.59,-0.1474,0.00,0.00,0.0000,0.0000,
2023-01-09,1.5877,7837.8431,12444.14,0.00,12444.14,14500.00,-2055.86,-0.1418,0.00,0.00,0.0000,0.0000,
2023-01-10,1.5945,7837.8431,12497.44,0.00,12497.44,14500.00,-2002.56,-0.1381,0.00,0.00,0.0000,0.0000,
2023-01-11,1.5834,7837.8431,12410.44,0.00,12410.44,14500.00,-2089.56,-0.1441,0.00,0.00,0.0000,0.0000,
2023-01-12,1.5843,7837.8431,12417.49,0.00,12417.49,14500.00,-2082.51,-0.1436,0.00,0.00,0.0000,0.0000,
2023-01-13,1.5981,7837.8431,12525.66,0.00,12525.66,14500.00,-1974.34,-0.1362,0.00,0.00,0.0000,0.0000,
2023-01-16,1.6247,7837.8431,12734.14,0.00,12734.14,14500.00,-1765.86,-0.1218,0.00,0.00,0.0000,0.0000,
2023-01-17,1.6292,7837.8431,12769.41,0.00,12769.41,14500.00,-1730.59,-0.1194,0.00,0.00,0.0000,0.0000,
2023-01-18,1.6322,7837.8431,12792.93,0.00,12792.93,14500.00,-1707.07,-0.1177,0.00,0.00,0.0000,0.0000,
2023-01-19,1.6529,7837.8431,12955.17,0.00,12955.17,14500.00,-1544.83,-0.1065,0.00,0.00,0.0000,0.0000,
2023-01-20,1.6554,7837.8431,12974.77,0.00,12974.77,14500.00,-1525.23,-0.1052,0.00,0.00,0.0000,0.0000,
2023-01-30,1.6620,7837.8431,13026.50,0.00,13026.50,14500.00,-1473.50,-0.1016,0.00,0.00,0.0000,0.0000,
2023-01-31,1.6494,7837.8431,12927.74,0.00,12927.74,14500.00,-1572.26,-0.1084,0.00,0.00,0.0000,0.0000,
2023-02-01,1.6709,8136.7244,13595.65,0.00,13595.65,15000.00,-1404.35,-0.0936,500.00,0.00,298.8813,0.0000,月度定投: 全额买入 500.00 元
2023-02-02,1.6833,8136.7244,13696.55,0.00,13696.55,15000.00,-1303.45,-0.0869,0.00,0.00,0.0000,0.0000,
2023-02-03,1.6829,8136.7244,13693.29,0.00,13693.29,15000.00,-1306.71,-0.0871,0.00,0.00,0.0000,0.0000,
2023-02-06,1.6653,8136.7244,13550.09,0.00,13550.09,15000.00,-1449.91,-0.0967,0.00,0.00,0.0000,0.0000,
2023-02-07,1.6641,8136.7244,13540.32,0.00,13540.32,15000.00,-1459.68,-0.0973,0.00,0.00,0.0000,0.0000,
2023-02-08,1.6552,8136.7244,13467.91,0.00,13467.91,15000.00,-1532.09,-0.1021,0.00,0.00,0.0000,0.0000,
2023-02-09,1.6814,8136.7244,13681.09,0.00,13681.09,15000.00,-1318.91,-0.0879,0.00,0.00,0.0000,0.0000,
2023-02-10,1.6763,8136.7244,13639.59,0.00,13639.59,15000.00,-1360.41,-0.0907,0.00,0.00,0.0000,0.0000,
2023-02-13,1.6876,8136.7244,13731.54,0.00,13731.54,15000.00,-1268.46,-0.0846,0.00,0.00,0.0000,0.0000,
2023-02-14,1.6897,8136.7244,13748.62,0.00,13748.62,15000.00,-1251.38,-0.0834,0.00,0.00,0.0000,0.0000,
2023-02-15,1.6856,8136.7244,13715.26,0.00,13715.26,15000.00,-1284.74,-0.0856,0.00,0.00,0.0000,0.0000,
2023-02-16,1.6635,8136.7244,13535.44,0.00,13535.44,15000.00,-1464.56,-0.0976,0.00,0.00,0.0000,0.0000,
2023-02-17,1.6392,8136.7244,13337.72,0.00,13337.72,15000.00,-1662.28,-0.1108,0.00,0.00,0.0000,0.0000,
2023-02-20,1.6689,8136.7244,13579.38,0.00,13579.38,15000.00,-1420.62,-0.0947,0.00,0.00,0.0000,0.0000,
2023-02-21,1.6687,8136.7244,13577.75,0.00,13577.75,15000.00,-1422.25,-0.0948,0.00,0.00,0.0000,0.0000,
