date,nav,units,fund_value,cash,total_value,total_cost,unrealized_pnl,unrealized_pnl_pct,buy_cash,sell_cash,buy_units,sell_units,note
2020-07-13,1.6324,0.0687,0.11,17741.52,17741.63,17013.37,728.27,0.0428,0.00,0.04,0.0000,0.0229,"止盈触发: 收益率10.24%>=10%, 卖出25%份额(0.02份)"
2020-07-14,1.6170,0.0515,0.08,17741.55,17741.63,17013.37,728.27,0.0428,0.00,0.03,0.0000,0.0172,"止盈触发: 收益率10.24%>=10%, 卖出25%份额(0.02份)"
2020-07-15,1.6207,0.0386,0.06,17741.57,17741.63,17013.37,728.27,0.0428,0.00,0.02,0.0000,0.0129,"止盈触发: 收益率10.24%>=10%, 卖出25%份额(0.01份)"
2020-07-16,1.5457,0.0290,0.04,17741.58,17741.63,17013.37,728.26,0.0428,0.00,0.01,0.0000,0.0097,"止盈触发: 收益率10.24%>=10%, 卖出25%份额(0.01份)"
2020-07-17,1.5670,0.0217,0.03,17741.60,17741.63,17013.37,728.26,0.0428,0.00,0.01,0.0000,0.0072,"止盈触发: 收益率10.24%>=10%, 卖出25%份额(0.01份)"
2020-07-20,1.5973,0.0163,0.03,17741.60,17741.63,17013.37,728.26,0.0428,0.00,0.01,0.0000,0.0054,"止盈触发: 收益率10.24%>=10%, 卖出25%份额(0.01份)"
2020-07-21,1.6187,0.0122,0.02,17741.61,17741.63,17013.37,728.26,0.0428,0.00,0.01,0.0000,0.0041,"止盈触发: 收益率10.24%>=10%, 卖出25%份额(0.00份)"
2020-07-22,1.6265,0.0092,0.01,17741.62,17741.63,17013.37,728.26,0.0428,0.00,0.00,0.0000,0.0031,"止盈触发: 收益率10.24%>=10%, 卖出25%份额(0.00份)"
2020-07-23,1.6434,0.0069,0.01,17741.62,17741.63,17013.37,728.26,0.0428,0.00,0.00,0.0000,0.0023,"止盈触发: 收益率10.24%>=10%, 卖出25%份额(0.00份)"
2020-07-24,1.5655,0.0052,0.01,17741.62,17741.63,17013.37,728.26,0.0428,0.00,0.00,0.0000,0.0017,"止盈触发: 收益率10.24%>=10%, 卖出25%份额(0.00份)"
2020-07-27,1.5794,0.0039,0.01,17741.62,17741.63,17013.37,728.26,0.0428,0.00,0.00,0.0000,0.0013,"止盈触发: 收益率10.24%>=10%, 卖出25%份额(0.00份)"
