date,nav,units,fund_value,cash,total_value,fund_cost,total_deposit,unrealized_gain,unrealized_gain_pct,drawdown_pct,last_peak_nav,tp_sell_cash,dip_buy_cash,note
2016-01-05,2.7459,784.5984409016608,2154.42885887187,180.0,2334.42885887187,2320.0,2500.0,-165.57114112812997,-7.1366871175918085,-12.595492742551572,3.1416,0.0,120.0,回撤 -12.60%，逢低买入 43.70 份，花费 120.00
2016-01-06,2.7993,810.3191567949198,2268.326415616019,108.0,2376.326415616019,2392.0,2500.0,-123.67358438398105,-5.17030035050088,-10.895721925133685,3.1416,0.0,72.0,回撤 -10.90%，逢低买入 25.72 份，花费 72.00
2016-01-07,2.5779,827.0769829324736,2132.1217543016237,64.8,2196.921754301624,2435.2,2500.0,-303.0782456983761,-12.445722967246063,-17.94308632543926,3.1416,0.0,43.2,回撤 -17.94%，逢低买入 16.76 份，花费 43.20
2016-01-08,2.6062,837.022497474719,2181.4480329186126,38.879999999999995,2220.3280329186127,2461.12,2500.0,-279.67196708138727,-11.363605475612212,-17.04227145403616,3.1416,0.0,25.92,回撤 -17.04%，逢低买入 9.95 份，花费 25.92
2016-01-11,2.4708,843.3168151046365,2083.667186760536,23.327999999999996,2106.995186760536,2476.672,2500.0,-393.00481323946406,-15.868262460247626,-21.35217723453017,3.1416,0.0,15.552,回撤 -21.35%，逢低买入 6.29 份，花费 15.55
2016-01-12,2.5055,847.0411016741834,2122.2614802446665,13.996799999999997,2136.2582802446664,2486.0032,2500.0,-363.74171975533363,-14.631586948694741,-20.24764451235039,3.1416,0.0,9.331199999999999,回撤 -20.25%，逢低买入 3.72 份，花费 9.33
2016-01-13,2.424,849.3508046444805,2058.8263504582205,8.398079999999997,2067.2244304582205,2491.60192,2500.0,-432.77556954177953,-17.36937052696522,-22.841864018334608,3.1416,0.0,5.598719999999999,回撤 -22.84%，逢低买入 2.31 份，花费 5.60
2016-01-14,2.5084,850.689997755627,2133.8707903702148,5.038847999999998,2138.909638370215,2494.961152,2500.0,-361.0903616297851,-14.472784930552102,-20.155334861217213,3.1416,0.0,3.3592319999999987,回撤 -20.16%，逢低买入 1.34 份，花费 3.36
2016-01-15,2.4302,851.5193694945785,2069.362371745725,3.023308799999999,2072.385680545725,2496.9766912,2500.0,-427.6143194542751,-17.125282785430077,-22.644512350394695,3.1416,0.0,2.015539199999999,回撤 -22.64%，逢低买入 0.83 份，花费 2.02
2016-01-18,2.4614,852.0106848110651,2097.1390995939555,1.8139852799999991,2098.9530848739555,2498.18601472,2500.0,-401.0469151260445,-16.053524948221053,-21.65138782785842,3.1416,0.0,1.2093235199999997,回撤 -21.65%，逢低买入 0.49 份，花费 1.21
2016-01-19,2.553,852.2948971541908,2175.9088724346493,1.0883911679999994,2176.997263602649,2498.911608832,2500.0,-323.0027363973509,-12.925736758985382,-18.735676088617264,3.1416,0.0,0.7255941119999997,回撤 -18.74%，逢低买入 0.28 份，花费 0.73
2016-01-20,2.5166,852.4678910615261,2145.3206946454366,0.6530347007999996,2145.9737293462367,2499.3469652992003,2500.0,-354.02627065376373,-14.164750855685327,-19.8943213649096,3.1416,0.0,0.43535646719999976,回撤 -19.89%，逢低买入 0.17 份，花费 0.44
2016-01-21,2.4407,852.5749152268556,2080.8795955941864,0.3918208204799997,2081.2714164146664,2499.6081791795204,2500.0,-418.72858358533404,-16.751768820134796,-22.310287751464216,3.1416,0.0,0.26121388031999987,回撤 -22.31%，逢低买入 0.11 份，花费 0.26
2016-01-22,2.4775,852.6381759042288,2112.4110808027267,0.23509249228799983,2112.6461732950147,2499.7649075077125,2500.0,-387.35382670498575,-15.495610228850717,-21.138910109498344,3.1416,0.0,0.1567283281919999,回撤 -21.14%，逢低买入 0.06 份，花费 0.16
2016-01-25,2.5254,852.675412380397,2153.3464864254543,0.14105549537279988,2153.487541920827,2499.8589445046277,2500.0,-346.5124580791735,-13.861280407076665,-19.61420932009168,3.1416,0.0,0.09403699691519994,回撤 -19.61%，逢低买入 0.04 份，花费 0.09
2016-01-26,2.3691,852.6992282590636,2020.1297416685475,0.08463329722367993,2020.2143749657712,2499.9153667027767,2500.0,-479.78562503422927,-19.192074716794703,-24.589381207028264,3.1416,0.0,0.05642219814911995,回撤 -24.59%，逢低买入 0.02 份，花费 0.06
2016-01-27,2.3694,852.7135159770046,2020.419404755915,0.050779978334207956,2020.4701847342492,2499.9492200216664,2500.0,-479.5298152657515,-19.18158222676201,-24.579831932773104,3.1416,0.0,0.033853318889471976,回撤 -24.58%，逢低买入 0.01 份，花费 0.03
2016-01-28,2.2768,852.7224372662411,1941.4784451677779,0.030467987000524773,1941.5089131547784,2499.969532013,2500.0,-558.4910868452221,-22.33991573471376,-27.52737458619811,3.1416,0.0,0.020311991333683183,回撤 -27.53%，逢低买入 0.01 份，花费 0.02
2016-01-29,2.3477,852.7276283872532,2001.9486531647544,0.018280792200314862,2001.9669339569548,2499.9817192078003,2500.0,-498.0330660430459,-19.92146831381086,-25.270562770562766,3.1416,0.0,0.01218719480020991,回撤 -25.27%，逢低买入 0.01 份，花费 0.01
2016-02-01,2.3168,939.0567514522048,2175.6066817644682,300.01096847532017,2475.6176502397884,2699.9890315246803,3000.0,-524.382349760212,-19.42164740810425,-26.254138018843893,3.1416,0.0,200.00731231688013,回撤 -26.25%，逢低买入 86.33 份，花费 200.01
2016-02-02,2.3909,989.2488913953761,2365.1951744372045,180.0065810851921,2545.2017555223965,2819.9934189148084,3000.0,-454.79824447760393,-16.127634959255317,-23.895467277820224,3.1416,0.0,120.00438739012807,回撤 -23.90%，逢低买入 50.19 份，花费 120.00
2016-02-03,2.4017,1019.2287525079533,2447.8816948983513,108.00394865111525,2555.8856435494663,2891.9960513488854,3000.0,-444.11435645053416,-15.356672297093569,-23.551693404634584,3.1416,0.0,72.00263243407684,回撤 -23.55%，逢低买入 29.98 份，花费 72.00
