product_code,product_name,ISS_DATE,NAV,TOT_NAV,INCOME,WEEK_CLIENTRATE,fetched_at
018043,天弘纳斯达克100指数(QDII)A,2025-10-09,1.8296,1.8296,0,1.66%,2025-12-18T01:01:35.745969
018043,天弘纳斯达克100指数(QDII)A,2025-10-10,1.7676,1.7676,0,-3.39%,2025-12-18T01:01:35.745969
018043,天弘纳斯达克100指数(QDII)A,2025-10-13,1.8032,1.8032,0,2.01%,2025-12-18T01:01:35.745969
018043,天弘纳斯达克100指数(QDII)A,2025-10-14,1.7917,1.7917,0,-0.64%,2025-12-18T01:01:35.745969
018043,天弘纳斯达克100指数(QDII)A,2025-10-15,1.8025,1.8025,0,0.60%,2025-12-18T01:01:35.745969
018043,天弘纳斯达克100指数(QDII)A,2025-10-16,1.7959,1.7959,0,-0.37%,2025-12-18T01:01:35.745969
018043,天弘纳斯达克100指数(QDII)A,2025-10-17,1.8063,1.8063,0,0.58%,2025-12-18T01:01:35.745969
018043,天弘纳斯达克100指数(QDII)A,2025-10-20,1.8289,1.8289,0,1.25%,2025-12-18T01:01:35.745969
018043,天弘纳斯达克100指数(QDII)A,2025-10-21,1.8269,1.8269,0,-0.11%,2025-12-18T01:01:35.745969
018043,天弘纳斯达克100指数(QDII)A,2025-10-22,1.8105,1.8105,0,-0.90%,2025-12-18T01:01:35.601977
018043,天弘纳斯达克100指数(QDII)A,2025-10-23,1.8245,1.8245,0,0.77%,2025-12-18T01:01:35.601977
018043,天弘纳斯达克100指数(QDII)A,2025-10-24,1.8424,1.8424,0,0.98%,2025-12-18T01:01:35.601977
018043,天弘纳斯达克100指数(QDII)A,2025-10-27,1.8728,1.8728,0,1.65%,2025-12-18T01:01:35.601977
018043,天弘纳斯达克100指数(QDII)A,2025-10-28,1.8853,1.8853,0,0.67%,2025-12-18T01:01:35.601977
018043,天弘纳斯达克100指数(QDII)A,2025-10-29,1.8924,1.8924,0,0.38%,2025-12-18T01:01:35.601977
018043,天弘纳斯达克100指数(QDII)A,2025-10-30,1.8664,1.8664,0,-1.37%,2025-12-18T01:01:35.601977
018043,天弘纳斯达克100指数(QDII)A,2025-10-31,1.8753,1.8753,0,0.48%,2025-12-18T01:01:35.601977
018043,天弘纳斯达克100指数(QDII)A,2025-11-03,1.8828,1.8828,0,0.40%,2025-12-18T01:01:35.601977
018043,天弘纳斯达克100指数(QDII)A,2025-11-04,1.8463,1.8463,0,-1.94%,2025-12-18T01:01:35.601977
018043,天弘纳斯达克100指数(QDII)A,2025-11-05,1.8592,1.8592,0,0.70%,2025-12-18T01:01:35.601977
018043,天弘纳斯达克100指数(QDII)A,2025-11-06,1.8246,1.8246,0,-1.86%,2025-12-18T01:01:35.601977
