date,nav,accum_nav,change_pct
2020-01-02,1.1681,4.4423,2.46
2020-01-03,1.1698,4.4488,0.15
2020-01-06,1.1707,4.4522,0.08
2020-01-07,1.1852,4.5073,1.24
2020-01-08,1.1746,4.4670,-0.89
2020-01-09,1.1974,4.5537,1.94
2020-01-10,1.1974,4.5537,0.00
2020-01-13,1.2152,4.6214,1.49
2020-01-14,1.2121,4.6096,-0.26
2020-01-15,1.2114,4.6070,-0.06
2020-01-16,1.2135,4.6150,0.17
2020-01-17,1.2177,4.6309,0.35
2020-01-20,1.2307,4.6804,1.07
2020-01-21,1.2222,4.6480,-0.69
2020-01-22,1.2313,4.6827,0.74
2020-01-23,1.1972,4.5530,-2.77
2020-02-03,1.1166,4.2464,-6.73
2020-02-04,1.1694,4.4472,4.73
2020-02-05,1.1835,4.5009,1.21
2020-02-06,1.2189,4.6355,2.99
2020-02-07,1.2243,4.6560,0.44
2020-02-10,1.2304,4.6792,0.50
2020-02-11,1.2297,4.6766,-0.06
2020-02-12,1.2463,4.7397,1.35
2020-02-13,1.2378,4.7074,-0.68
2020-02-14,1.2343,4.6941,-0.28
2020-02-17,1.2637,4.8059,2.38
2020-02-18,1.2672,4.8192,0.28
2020-02-19,1.2588,4.7872,-0.66
2020-02-20,1.2721,4.8378,1.06
2020-02-21,1.2792,4.8648,0.56
2020-02-24,1.2825,4.8774,0.26
2020-02-25,1.2857,4.8895,0.25
2020-02-26,1.2551,4.7732,-2.38
2020-02-27,1.2682,4.8230,1.04
2020-02-28,1.2252,4.6595,-3.39
2020-03-02,1.2610,4.7956,2.92
2020-03-03,1.2672,4.8192,0.49
2020-03-04,1.2699,4.8294,0.21
2020-03-05,1.2899,4.9055,1.57
2020-03-06,1.2749,4.8485,-1.16
2020-03-09,1.2259,4.6621,-3.84
2020-03-10,1.2475,4.7443,1.76
2020-03-11,1.2333,4.6903,-1.14
2020-03-12,1.2032,4.5758,-2.44
2020-03-13,1.1891,4.5222,-1.17
2020-03-16,1.1314,4.3027,-4.85
2020-03-17,1.1266,4.2845,-0.42
2020-03-18,1.1137,4.2354,-1.15
2020-03-19,1.0999,4.1829,-1.24
2020-03-20,1.1242,4.2753,2.21
2020-03-23,1.0810,4.1111,-3.84
2020-03-24,1.1059,4.2058,2.30
2020-03-25,1.1445,4.3525,3.49
2020-03-26,1.1427,4.3457,-0.16
2020-03-27,1.1473,4.3632,0.40
2020-03-30,1.1335,4.3107,-1.20
2020-03-31,1.1444,4.3522,0.96
2020-04-01,1.1394,4.3332,-0.44
2020-04-02,1.1555,4.3944,1.41
2020-04-03,1.1521,4.3815,-0.29
2020-04-07,1.1815,4.4933,2.55
2020-04-08,1.1755,4.4704,-0.51
2020-04-09,1.1915,4.5313,1.36
2020-04-10,1.1731,4.4613,-1.54
2020-04-13,1.1668,4.4374,-0.54
2020-04-14,1.1980,4.5560,2.67
2020-04-15,1.1851,4.5070,-1.08
2020-04-16,1.1939,4.5404,0.74
2020-04-17,1.2119,4.6089,1.51
2020-04-20,1.2207,4.6423,0.73
2020-04-21,1.2100,4.6016,-0.88
2020-04-22,1.2240,4.6549,1.16
2020-04-23,1.2211,4.6439,-0.24
2020-04-24,1.2091,4.5982,-0.98
2020-04-27,1.2197,4.6385,0.88
2020-04-28,1.2346,4.6952,1.22
2020-04-29,1.2353,4.6979,0.06
2020-04-30,1.2444,4.7325,0.74
2020-05-06,1.2566,4.7789,0.98
2020-05-07,1.2644,4.8085,0.62
2020-05-08,1.2817,4.8743,1.37
2020-05-11,1.2770,4.8564,-0.37
2020-05-12,1.2947,4.9238,1.39
2020-05-13,1.3130,4.9934,1.41
2020-05-14,1.2936,4.9196,-1.48
2020-05-15,1.2903,4.9070,-0.26
2020-05-18,1.3040,4.9591,1.06
2020-05-19,1.3257,5.0417,1.66
2020-05-20,1.3067,4.9694,-1.43
2020-05-21,1.2967,4.9314,-0.77
2020-05-22,1.2715,4.8355,-1.94
2020-05-25,1.2817,4.8743,0.80
2020-05-26,1.3081,4.9747,2.06
2020-05-27,1.2917,4.9124,-1.25
2020-05-28,1.2860,4.8907,-0.44
2020-05-29,1.3167,5.0074,2.39
2020-06-01,1.3518,5.1409,2.67
2020-06-02,1.3316,5.0641,-1.49
2020-06-03,1.3366,5.0831,0.38
2020-06-04,1.3386,5.0907,0.15
2020-06-05,1.3458,5.1181,0.54
2020-06-08,1.3446,5.1135,-0.09
2020-06-09,1.3545,5.1512,0.74
2020-06-10,1.3648,5.1904,0.76
2020-06-11,1.3651,5.1915,0.02
2020-06-12,1.3718,5.2170,0.49
2020-06-15,1.3678,5.2018,-0.29
2020-06-16,1.3873,5.2759,1.43
2020-06-17,1.3891,5.2828,0.13
2020-06-18,1.3841,5.2638,-0.36
2020-06-19,1.4071,5.3512,1.66
2020-06-22,1.4014,5.3295,-0.41
2020-06-23,1.4177,5.3915,1.16
2020-06-24,1.4261,5.4235,0.59
2020-06-29,1.4378,5.4680,0.82
2020-06-30,1.4637,5.5665,1.80
2020-07-01,1.4740,5.6056,0.70
2020-07-02,1.4819,5.6357,0.54
2020-07-03,1.4943,5.6828,0.84
2020-07-06,1.5288,5.8140,2.31
2020-07-07,1.5452,5.8764,1.07
2020-07-08,1.5655,5.9536,1.31
2020-07-09,1.5991,6.0814,2.15
2020-07-10,1.5953,6.0669,-0.24
2020-07-13,1.6324,6.2080,2.33
2020-07-14,1.6170,6.1495,-0.94
2020-07-15,1.6207,6.1635,0.23
2020-07-16,1.5457,5.8783,-4.63
2020-07-17,1.5670,5.9593,1.38
2020-07-20,1.5973,6.0746,1.93
2020-07-21,1.6187,6.1559,1.34
2020-07-22,1.6265,6.1856,0.48
2020-07-23,1.6434,6.2499,1.04
2020-07-24,1.5655,5.9536,-4.74
2020-07-27,1.5794,6.0065,0.89
2020-07-28,1.5941,6.0624,0.93
2020-07-29,1.6373,6.2267,2.71
2020-07-30,1.6402,6.2377,0.18
2020-07-31,1.6486,6.2696,0.51
2020-08-03,1.6816,6.3951,2.00
2020-08-04,1.6814,6.3944,-0.01
2020-08-05,1.6995,6.4632,1.08
2020-08-06,1.6911,6.4313,-0.49
2020-08-07,1.6924,6.4362,0.08
2020-08-10,1.6836,6.4028,-0.52
2020-08-11,1.6605,6.3149,-1.37
2020-08-12,1.6336,6.2126,-1.62
2020-08-13,1.6388,6.2324,0.32
2020-08-14,1.6594,6.3107,1.26
2020-08-17,1.6733,6.3636,0.84
2020-08-18,1.6849,6.4077,0.69
2020-08-19,1.6519,6.2822,-1.96
2020-08-20,1.6300,6.1989,-1.33
2020-08-21,1.6519,6.2822,1.34
2020-08-24,1.6952,6.4469,2.62
2020-08-25,1.6900,6.4271,-0.31
2020-08-26,1.6800,6.3891,-0.59
2020-08-27,1.7093,6.5005,1.74
2020-08-28,1.7508,6.6583,2.43
2020-08-31,1.7333,6.5918,-1.00
2020-09-01,1.7556,6.6766,1.29
2020-09-02,1.7534,6.6682,-0.13
2020-09-03,1.7485,6.6496,-0.28
2020-09-04,1.7339,6.5940,-0.84
2020-09-07,1.6779,6.3811,-3.23
2020-09-08,1.6816,6.3951,0.22
2020-09-09,1.6315,6.2046,-2.98
2020-09-10,1.6337,6.2130,0.13
2020-09-11,1.6731,6.3628,2.41
2020-09-14,1.6894,6.4248,0.97
2020-09-15,1.7072,6.4925,1.05
2020-09-16,1.7032,6.4773,-0.23
2020-09-17,1.7208,6.5442,1.03
2020-09-18,1.7324,6.5883,0.67
2020-09-21,1.7162,6.5267,-0.94
2020-09-22,1.6965,6.4518,-1.15
2020-09-23,1.7226,6.5511,1.54
2020-09-24,1.6781,6.3818,-2.58
2020-09-25,1.6785,6.3834,0.02
2020-09-28,1.6771,6.3780,-0.08
2020-09-29,1.6888,6.4225,0.70
2020-09-30,1.6955,6.4480,0.40
2020-10-09,1.7478,6.6469,3.08
2020-10-12,1.7950,6.8264,2.70
2020-10-13,1.8105,6.8854,0.86
2020-10-14,1.7992,6.8424,-0.62
2020-10-15,1.7885,6.8017,-0.59
2020-10-16,1.7714,6.7367,-0.96
2020-10-19,1.7551,6.6747,-0.92
2020-10-20,1.7855,6.7903,1.73
2020-10-21,1.7774,6.7595,-0.45
2020-10-22,1.7647,6.7112,-0.71
2020-10-23,1.7284,6.5731,-2.06
2020-10-26,1.7501,6.6557,1.26
2020-10-27,1.7693,6.7287,1.10
2020-10-28,1.8063,6.8694,2.09
2020-10-29,1.8285,6.9538,1.23
2020-10-30,1.8095,6.8816,-1.04
2020-11-02,1.8448,7.0158,1.95
2020-11-03,1.8486,7.0303,0.21
2020-11-04,1.8609,7.0770,0.67
2020-11-05,1.8908,7.1907,1.61
2020-11-06,1.8890,7.1839,-0.10
2020-11-09,1.9115,7.2695,1.19
2020-11-10,1.9050,7.2447,-0.34
2020-11-11,1.8716,7.1177,-1.75
2020-11-12,1.8839,7.1645,0.66
2020-11-13,1.8686,7.1063,-0.81
2020-11-16,1.8862,7.1732,0.94
2020-11-17,1.8777,7.1409,-0.45
2020-11-18,1.8656,7.0949,-0.64
2020-11-19,1.8828,7.1603,0.92
2020-11-20,1.8959,7.2101,0.70
2020-11-23,1.9064,7.2501,0.55
2020-11-24,1.8853,7.1698,-1.11
2020-11-25,1.8558,7.0576,-1.56
2020-11-26,1.8476,7.0264,-0.44
2020-11-27,1.8650,7.0926,0.94
2020-11-30,1.8592,7.0706,-0.31
2020-12-01,1.9006,7.2280,2.23
2020-12-02,1.8994,7.2234,-0.06
2020-12-03,1.9027,7.2360,0.17
2020-12-04,1.9166,7.2889,0.73
2020-12-07,1.9106,7.2660,-0.31
2020-12-08,1.9122,7.2721,0.08
2020-12-09,1.8893,7.1850,-1.20
2020-12-10,1.8920,7.1953,0.14
2020-12-11,1.8812,7.1542,-0.57
2020-12-14,1.9014,7.2311,1.07
2020-12-15,1.9151,7.2832,0.72
2020-12-16,1.9181,7.2946,0.16
2020-12-17,1.9240,7.3170,0.31
2020-12-18,1.9105,7.2657,-0.70
2020-12-21,1.9434,7.3908,1.72
2020-12-22,1.9205,7.3037,-1.18
2020-12-23,1.9401,7.3782,1.02
2020-12-24,1.9279,7.3318,-0.63
2020-12-25,1.9455,7.3988,0.91
2020-12-28,1.9456,7.3991,0.01
2020-12-29,1.9411,7.3820,-0.23
2020-12-30,1.9616,7.4600,1.06
2020-12-31,1.9970,7.5946,1.80
2021-01-04,2.0203,7.6832,1.17
2021-01-05,2.0738,7.8867,2.65
2021-01-06,2.0765,7.8970,0.13
2021-01-07,2.1158,8.0464,1.89
2021-01-08,2.1221,8.0704,0.30
2021-01-11,2.1197,8.0612,-0.11
2021-01-12,2.1673,8.2423,2.25
2021-01-13,2.1507,8.1791,-0.77
2021-01-14,2.1102,8.0251,-1.88
2021-01-15,2.1132,8.0365,0.14
2021-01-18,2.1386,8.1331,1.20
2021-01-19,2.1105,8.0263,-1.31
2021-01-20,2.1314,8.1057,0.99
2021-01-21,2.1714,8.2579,1.88
2021-01-22,2.1867,8.3161,0.70
2021-01-25,2.2068,8.3925,0.92
2021-01-26,2.1603,8.2157,-2.11
2021-01-27,2.1789,8.2864,0.86
2021-01-28,2.1152,8.0441,-2.92
2021-01-29,2.1048,8.0046,-0.49
2021-02-01,2.1503,8.1776,2.16
2021-02-02,2.1807,8.2932,1.41
2021-02-03,2.1820,8.2982,0.06
2021-02-04,2.1787,8.2856,-0.15
2021-02-05,2.1809,8.2940,0.10
2021-02-08,2.2100,8.4047,1.33
2021-02-09,2.2518,8.5636,1.89
2021-02-10,2.2727,8.6431,0.93
2021-02-18,2.2515,8.5625,-0.93
2021-02-19,2.2408,8.5218,-0.48
2021-02-22,2.1815,8.2963,-2.65
2021-02-23,2.2093,8.4020,1.27
2021-02-24,2.1703,8.2537,-1.77
2021-02-25,2.1750,8.2716,0.22
2021-02-26,2.1220,8.0700,-2.44
2021-03-01,2.1619,8.2217,1.88
2021-03-02,2.1472,8.1658,-0.68
2021-03-03,2.1696,8.2510,1.04
2021-03-04,2.1107,8.0270,-2.71
2021-03-05,2.1112,8.0289,0.02
2021-03-08,2.0592,7.8312,-2.46
2021-03-09,2.0086,7.6387,-2.46
2021-03-10,2.0071,7.6330,-0.07
2021-03-11,2.0504,7.7977,2.16
2021-03-12,2.0593,7.8315,0.43
2021-03-15,2.0081,7.6368,-2.49
2021-03-16,2.0214,7.6874,0.66
2021-03-17,2.0392,7.7551,0.88
2021-03-18,2.0475,7.7867,0.41
2021-03-19,2.0069,7.6323,-1.98
2021-03-22,2.0307,7.7228,1.19
2021-03-23,2.0205,7.6840,-0.50
2021-03-24,1.9883,7.5615,-1.59
2021-03-25,2.0018,7.6129,0.68
2021-03-26,2.0470,7.7848,2.26
2021-03-29,2.0564,7.8205,0.46
2021-03-30,2.0647,7.8521,0.40
2021-03-31,2.0649,7.8528,0.01
2021-04-01,2.0821,7.9183,0.83
2021-04-02,2.0861,7.9335,0.19
2021-04-06,2.0853,7.9304,-0.04
2021-04-07,2.0678,7.8639,-0.84
2021-04-08,2.0649,7.8528,-0.14
2021-04-09,2.0393,7.7555,-1.24
2021-04-12,1.9938,7.5824,-2.23
2021-04-13,1.9923,7.5767,-0.08
2021-04-14,2.0069,7.6323,0.73
2021-04-15,1.9989,7.6018,-0.40
2021-04-16,2.0082,7.6372,0.47
2021-04-19,2.0457,7.7798,1.87
2021-04-20,2.0604,7.8357,0.72
2021-04-21,2.0798,7.9095,0.94
2021-04-22,2.0826,7.9202,0.13
2021-04-23,2.1036,8.0000,1.01
2021-04-26,2.1085,8.0187,0.23
2021-04-27,2.1284,8.0943,0.94
2021-04-28,2.1400,8.1384,0.55
2021-04-29,2.1341,8.1160,-0.28
2021-04-30,2.1379,8.1305,0.18
2021-05-06,2.1214,8.0677,-0.77
2021-05-07,2.0844,7.9270,-1.74
2021-05-10,2.0758,7.8943,-0.41
2021-05-11,2.0676,7.8631,-0.40
2021-05-12,2.0698,7.8715,0.11
2021-05-13,2.0521,7.8042,-0.86
2021-05-14,2.0793,7.9076,1.33
2021-05-17,2.1126,8.0342,1.60
2021-05-18,2.1090,8.0206,-0.17
2021-05-19,2.0921,7.9563,-0.80
2021-05-20,2.1026,7.9962,0.50
2021-05-21,2.0912,7.9529,-0.54
2021-05-24,2.1061,8.0095,0.71
2021-05-25,2.1450,8.1575,1.85
2021-05-26,2.1550,8.1955,0.47
2021-05-27,2.1598,8.2137,0.22
2021-05-28,2.1429,8.1495,-0.78
2021-05-31,2.1518,8.1833,0.42
2021-06-01,2.1600,8.2145,0.38
2021-06-02,2.1441,8.1540,-0.74
2021-06-03,2.1262,8.0860,-0.83
2021-06-04,2.1439,8.1533,0.83
2021-06-07,2.1467,8.1639,0.13
2021-06-08,2.1333,8.1130,-0.62
2021-06-09,2.1321,8.1084,-0.06
2021-06-10,2.1371,8.1274,0.23
2021-06-11,2.1151,8.0438,-1.03
2021-06-15,2.0987,7.9814,-0.78
2021-06-16,2.0682,7.8654,-1.45
2021-06-17,2.0737,7.8863,0.27
2021-06-18,2.0692,7.8692,-0.22
2021-06-21,2.0768,7.8981,0.37
2021-06-22,2.0884,7.9422,0.56
2021-06-23,2.1063,8.0103,0.86
2021-06-24,2.1078,8.0160,0.07
2021-06-25,2.1254,8.0829,0.83
2021-06-28,2.1260,8.0852,0.03
2021-06-29,2.1233,8.0749,-0.13
2021-06-30,2.1494,8.1742,1.23
2021-07-01,2.1574,8.2046,0.37
2021-07-02,2.0983,7.9799,-2.74
2021-07-05,2.0956,7.9696,-0.13
2021-07-06,2.0906,7.9506,-0.24
2021-07-07,2.1035,7.9996,0.62
2021-07-08,2.0852,7.9300,-0.87
2021-07-09,2.0796,7.9087,-0.27
2021-07-12,2.1086,8.0190,1.39
2021-07-13,2.1244,8.0791,0.75
2021-07-14,2.1135,8.0377,-0.51
2021-07-15,2.1267,8.0879,0.62
2021-07-16,2.1011,7.9905,-1.20
2021-07-19,2.1120,8.0320,0.52
2021-07-20,2.1041,8.0019,-0.37
2021-07-21,2.1219,8.0696,0.85
2021-07-22,2.1148,8.0426,-0.33
2021-07-23,2.0899,7.9479,-1.18
2021-07-26,2.0336,7.7338,-2.69
2021-07-27,1.9671,7.4809,-3.27
2021-07-28,1.9603,7.4550,-0.35
2021-07-29,1.9911,7.5722,1.57
2021-07-30,1.9797,7.5288,-0.57
2021-08-02,2.0140,7.6593,1.73
2021-08-03,2.0203,7.6832,0.31
2021-08-04,2.0301,7.7205,0.49
2021-08-05,2.0170,7.6707,-0.65
2021-08-06,2.0027,7.6163,-0.71
2021-08-09,2.0282,7.7133,1.27
2021-08-10,2.0455,7.7791,0.85
2021-08-11,2.0445,7.7753,-0.05
