product_code,product_name,ISS_DATE,NAV,TOT_NAV,INCOME,WEEK_CLIENTRATE,fetched_at
013308,易方达恒生科技ETF联接(QDII)A,2025-11-20,1.3741,1.3741,0,-0.49%,2025-12-18T00:58:47.525445
013308,易方达恒生科技ETF联接(QDII)A,2025-11-21,1.3321,1.3321,0,-3.06%,2025-12-18T00:58:47.525445
013308,易方达恒生科技ETF联接(QDII)A,2025-11-24,1.3662,1.3662,0,2.56%,2025-12-18T00:58:47.525445
013308,易方达恒生科技ETF联接(QDII)A,2025-11-25,1.3812,1.3812,0,1.10%,2025-12-18T00:58:47.525445
013308,易方达恒生科技ETF联接(QDII)A,2025-11-26,1.3835,1.3835,0,0.17%,2025-12-18T00:58:47.525445
013308,易方达恒生科技ETF联接(QDII)A,2025-11-27,1.3779,1.3779,0,-0.40%,2025-12-18T00:58:47.525445
013308,易方达恒生科技ETF联接(QDII)A,2025-11-28,1.3781,1.3781,0,0.01%,2025-12-18T00:58:47.525445
013308,易方达恒生科技ETF联接(QDII)A,2025-12-01,1.3863,1.3863,0,0.60%,2025-12-18T00:58:47.525445
013308,易方达恒生科技ETF联接(QDII)A,2025-12-02,1.3815,1.3815,0,-0.35%,2025-12-18T00:58:47.525445
013308,易方达恒生科技ETF联接(QDII)A,2025-12-03,1.3608,1.3608,0,-1.50%,2025-12-18T00:58:47.525445
013308,易方达恒生科技ETF联接(QDII)A,2025-12-04,1.3802,1.3802,0,1.43%,2025-12-18T00:58:47.525445
013308,易方达恒生科技ETF联接(QDII)A,2025-12-05,1.3913,1.3913,0,0.80%,2025-12-18T00:58:47.525445
013308,易方达恒生科技ETF联接(QDII)A,2025-12-08,1.3913,1.3913,0,0.00%,2025-12-18T00:58:47.525445
013308,易方达恒生科技ETF联接(QDII)A,2025-12-09,1.3668,1.3668,0,-1.76%,2025-12-18T00:58:47.525445
013308,易方达恒生科技ETF联接(QDII)A,2025-12-10,1.3727,1.3727,0,0.43%,2025-12-18T00:58:47.525445
013308,易方达恒生科技ETF联接(QDII)A,2025-12-11,1.3608,1.3608,0,-0.87%,2025-12-18T00:58:47.525445
013308,易方达恒生科技ETF联接(QDII)A,2025-12-12,1.3830,1.3830,0,1.63%,2025-12-18T00:58:47.525445
013308,易方达恒生科技ETF联接(QDII)A,2025-12-15,1.3504,1.3504,0,-2.36%,2025-12-18T00:58:47.525445
013308,易方达恒生科技ETF联接(QDII)A,2025-12-16,1.3273,1.3273,0,-1.71%,2025-12-16 22:54:50
013308,易方达恒生科技ETF联接(QDII)A,2025-12-17,1.3403,1.3403,0,0.98%,2025-12-17 19:40:27
