date,nav,accum_nav,change_pct
2022-07-08,0.9526,0.9526,-0.58
2022-07-11,0.9351,0.9351,-1.84
2022-07-12,0.9222,0.9222,-1.38
2022-07-13,0.9247,0.9247,0.27
2022-07-14,0.9319,0.9319,0.78
2022-07-15,0.9205,0.9205,-1.22
2022-07-18,0.9327,0.9327,1.33
2022-07-19,0.9382,0.9382,0.59
2022-07-20,0.9485,0.9485,1.10
2022-07-21,0.9396,0.9396,-0.94
2022-07-22,0.9304,0.9304,-0.98
2022-07-25,0.9241,0.9241,-0.68
2022-07-26,0.9340,0.9340,1.07
2022-07-27,0.9362,0.9362,0.24
2022-07-28,0.9401,0.9401,0.42
2022-07-29,0.9319,0.9319,-0.87
2022-08-01,0.9393,0.9393,0.79
2022-08-02,0.9141,0.9141,-2.68
2022-08-03,0.9090,0.9090,-0.56
2022-08-04,0.9161,0.9161,0.78
2022-08-05,0.9335,0.9335,1.90
2022-08-08,0.9401,0.9401,0.71
2022-08-09,0.9446,0.9446,0.48
2022-08-10,0.9391,0.9391,-0.58
2022-08-11,0.9575,0.9575,1.96
2022-08-12,0.9526,0.9526,-0.51
2022-08-15,0.9561,0.9561,0.37
2022-08-16,0.9583,0.9583,0.23
2022-08-17,0.9596,0.9596,0.14
2022-08-18,0.9561,0.9561,-0.36
2022-08-19,0.9489,0.9489,-0.75
2022-08-22,0.9637,0.9637,1.56
2022-08-23,0.9618,0.9618,-0.20
2022-08-24,0.9367,0.9367,-2.61
2022-08-25,0.9405,0.9405,0.41
2022-08-26,0.9366,0.9366,-0.41
2022-08-29,0.9404,0.9404,0.41
2022-08-30,0.9351,0.9351,-0.56
2022-08-31,0.9187,0.9187,-1.75
2022-09-01,0.9137,0.9137,-0.54
2022-09-02,0.9168,0.9168,0.34
2022-09-05,0.9167,0.9167,-0.01
2022-09-06,0.9298,0.9298,1.43
2022-09-07,0.9332,0.9332,0.37
2022-09-08,0.9289,0.9289,-0.46
2022-09-09,0.9361,0.9361,0.78
2022-09-13,0.9335,0.9335,-0.28
2022-09-14,0.9280,0.9280,-0.59
2022-09-15,0.9104,0.9104,-1.90
2022-09-16,0.8912,0.8912,-2.11
2022-09-19,0.8874,0.8874,-0.43
2022-09-20,0.8928,0.8928,0.61
2022-09-21,0.8927,0.8927,-0.01
2022-09-22,0.8899,0.8899,-0.31
2022-09-23,0.8800,0.8800,-1.11
2022-09-26,0.8714,0.8714,-0.98
2022-09-27,0.8885,0.8885,1.96
2022-09-28,0.8693,0.8693,-2.16
2022-09-29,0.8744,0.8744,0.59
2022-09-30,0.8644,0.8644,-1.14
2022-10-10,0.8506,0.8506,-1.60
2022-10-11,0.8552,0.8552,0.54
2022-10-12,0.8753,0.8753,2.35
2022-10-13,0.8787,0.8787,0.39
2022-10-14,0.9009,0.9009,2.53
2022-10-17,0.9035,0.9035,0.29
2022-10-18,0.9052,0.9052,0.19
2022-10-19,0.8976,0.8976,-0.84
2022-10-20,0.8931,0.8931,-0.50
2022-10-21,0.8910,0.8910,-0.24
2022-10-24,0.8793,0.8793,-1.31
2022-10-25,0.8766,0.8766,-0.31
2022-10-26,0.8906,0.8906,1.60
2022-10-27,0.8870,0.8870,-0.40
2022-10-28,0.8615,0.8615,-2.87
2022-10-31,0.8603,0.8603,-0.14
2022-11-01,0.8780,0.8780,2.06
2022-11-02,0.8871,0.8871,1.04
2022-11-03,0.8904,0.8904,0.37
2022-11-04,0.9095,0.9095,2.15
2022-11-07,0.9115,0.9115,0.22
2022-11-08,0.9092,0.9092,-0.25
2022-11-09,0.9056,0.9056,-0.40
2022-11-10,0.8977,0.8977,-0.87
2022-11-11,0.9051,0.9051,0.82
2022-11-14,0.9023,0.9023,-0.31
2022-11-15,0.9173,0.9173,1.66
2022-11-16,0.9124,0.9124,-0.53
2022-11-17,0.9111,0.9111,-0.14
2022-11-18,0.9069,0.9069,-0.46
2022-11-21,0.9069,0.9069,0.00
2022-11-22,0.8966,0.8966,-1.14
2022-11-23,0.8975,0.8975,0.10
2022-11-24,0.8989,0.8989,0.16
2022-11-25,0.8930,0.8930,-0.66
2022-11-28,0.8866,0.8866,-0.72
2022-11-29,0.8985,0.8985,1.34
2022-11-30,0.8975,0.8975,-0.11
2022-12-01,0.9038,0.9038,0.70
2022-12-02,0.9042,0.9042,0.04
2022-12-05,0.9064,0.9064,0.24
2022-12-06,0.9067,0.9067,0.03
2022-12-07,0.9045,0.9045,-0.24
2022-12-08,0.9021,0.9021,-0.27
2022-12-09,0.9040,0.9040,0.21
2022-12-12,0.8984,0.8984,-0.62
2022-12-13,0.8931,0.8931,-0.59
2022-12-14,0.8896,0.8896,-0.39
2022-12-15,0.8917,0.8917,0.24
