product_code,product_name,ISS_DATE,NAV,TOT_NAV,INCOME,WEEK_CLIENTRATE,fetched_at
017641,摩根标普500指数(QDII)A,2025-10-09,1.5640,1.5640,0,0.69%,2025-12-18T01:01:02.128154
017641,摩根标普500指数(QDII)A,2025-10-10,1.5257,1.5257,0,-2.45%,2025-12-18T01:01:02.128154
017641,摩根标普500指数(QDII)A,2025-10-13,1.5460,1.5460,0,1.33%,2025-12-18T01:01:02.128154
017641,摩根标普500指数(QDII)A,2025-10-14,1.5438,1.5438,0,-0.14%,2025-12-18T01:01:02.128154
017641,摩根标普500指数(QDII)A,2025-10-15,1.5491,1.5491,0,0.34%,2025-12-18T01:01:02.128154
017641,摩根标普500指数(QDII)A,2025-10-16,1.5402,1.5402,0,-0.57%,2025-12-18T01:01:02.128154
017641,摩根标普500指数(QDII)A,2025-10-17,1.5470,1.5470,0,0.44%,2025-12-18T01:01:02.128154
017641,摩根标普500指数(QDII)A,2025-10-20,1.5616,1.5616,0,0.94%,2025-12-18T01:01:02.128154
017641,摩根标普500指数(QDII)A,2025-10-21,1.5606,1.5606,0,-0.06%,2025-12-18T01:01:02.128154
017641,摩根标普500指数(QDII)A,2025-10-22,1.5537,1.5537,0,-0.44%,2025-12-18T01:01:01.907614
017641,摩根标普500指数(QDII)A,2025-10-23,1.5607,1.5607,0,0.45%,2025-12-18T01:01:01.907614
017641,摩根标普500指数(QDII)A,2025-10-24,1.5716,1.5716,0,0.70%,2025-12-18T01:01:01.907614
017641,摩根标普500指数(QDII)A,2025-10-27,1.5875,1.5875,0,1.01%,2025-12-18T01:01:01.907614
017641,摩根标普500指数(QDII)A,2025-10-28,1.5903,1.5903,0,0.18%,2025-12-18T01:01:01.907614
017641,摩根标普500指数(QDII)A,2025-10-29,1.5901,1.5901,0,-0.01%,2025-12-18T01:01:01.907614
017641,摩根标普500指数(QDII)A,2025-10-30,1.5766,1.5766,0,-0.85%,2025-12-18T01:01:01.907614
017641,摩根标普500指数(QDII)A,2025-10-31,1.5804,1.5804,0,0.24%,2025-12-18T01:01:01.907614
017641,摩根标普500指数(QDII)A,2025-11-03,1.5826,1.5826,0,0.14%,2025-12-18T01:01:01.907614
017641,摩根标普500指数(QDII)A,2025-11-04,1.5669,1.5669,0,-0.99%,2025-12-18T01:01:01.907614
017641,摩根标普500指数(QDII)A,2025-11-05,1.5722,1.5722,0,0.34%,2025-12-18T01:01:01.907614
017641,摩根标普500指数(QDII)A,2025-11-06,1.5564,1.5564,0,-1.00%,2025-12-18T01:01:01.907614
017641,摩根标普500指数(QDII)A,2025-11-07,1.5576,1.5576,0,0.08%,2025-12-18T01:01:01.907614
017641,摩根标普500指数(QDII)A,2025-11-10,1.5788,1.5788,0,1.36%,2025-12-18T01:01:01.907614
017641,摩根标普500指数(QDII)A,2025-11-11,1.5818,1.5818,0,0.19%,2025-12-18T01:01:01.907614
017641,摩根标普500指数(QDII)A,2025-11-12,1.5821,1.5821,0,0.02%,2025-12-18T01:01:01.907614
