date,nav,accum_nav,change_pct
2009-08-26,1.0000,1.0000,0.00
2009-08-28,0.9980,0.9980,-0.20
2009-09-04,1.0050,1.0050,0.70
2009-09-11,1.0160,1.0160,1.09
2009-09-15,1.0190,1.0190,0.30
2009-09-16,1.0140,1.0140,-0.49
2009-09-17,1.0180,1.0180,0.39
2009-09-18,1.0090,1.0090,-0.88
2009-09-21,1.0070,1.0070,-0.20
2009-09-22,1.0000,1.0000,-0.70
2009-09-23,0.9960,0.9960,-0.40
2009-09-24,1.0000,1.0000,0.40
2009-09-25,0.9980,0.9980,-0.20
2009-09-28,0.9900,0.9900,-0.80
2009-09-29,0.9920,0.9920,0.20
2009-09-30,0.9940,0.9940,0.20
2009-10-09,1.0090,1.0090,1.51
2009-10-12,1.0070,1.0070,-0.20
2009-10-13,1.0120,1.0120,0.50
2009-10-14,1.0160,1.0160,0.40
2009-10-15,1.0170,1.0170,0.10
2009-10-16,1.0180,1.0180,0.10
2009-10-19,1.0280,1.0280,0.98
2009-10-20,1.0350,1.0350,0.68
2009-10-21,1.0340,1.0340,-0.10
2009-10-22,1.0310,1.0310,-0.29
2009-10-23,1.0400,1.0400,0.87
2009-10-26,1.0400,1.0400,0.00
2009-10-27,1.0250,1.0250,-1.44
2009-10-28,1.0260,1.0260,0.10
2009-10-29,1.0130,1.0130,-1.27
2009-10-30,1.0190,1.0190,0.59
2009-11-02,1.0390,1.0390,1.96
2009-11-03,1.0460,1.0460,0.67
2009-11-04,1.0500,1.0500,0.38
2009-11-05,1.0520,1.0520,0.19
2009-11-06,1.0550,1.0550,0.29
2009-11-09,1.0580,1.0580,0.28
2009-11-10,1.0600,1.0600,0.19
2009-11-11,1.0580,1.0580,-0.19
2009-11-12,1.0580,1.0580,0.00
2009-11-13,1.0620,1.0620,0.38
2009-11-16,1.0880,1.0880,2.45
2009-11-17,1.0880,1.0880,0.00
2009-11-18,1.0890,1.0890,0.09
2009-11-19,1.0910,1.0910,0.18
2009-11-20,1.0870,1.0870,-0.37
2009-11-23,1.0950,1.0950,0.74
2009-11-24,1.0660,1.0660,-2.65
2009-11-25,1.0870,1.0870,1.97
2009-11-26,1.0480,1.0480,-3.59
2009-11-27,1.0190,1.0190,-2.77
2009-11-30,1.0550,1.0550,3.53
2009-12-01,1.0690,1.0690,1.33
2009-12-02,1.0790,1.0790,0.94
2009-12-03,1.0770,1.0770,-0.19
